,Gene_MEND52
370,GRCh38______SPEN
371,GRCh38______ZBTB17
372,GRCh38______SRARP
373,GRCh38______AL355994.3
374,GRCh38______HSPB7
375,GRCh38______CLCNKA
376,GRCh38______CLCNKB
377,GRCh38______FAM131C
378,GRCh38______EPHA2
379,GRCh38______AL451042.2
380,GRCh38______AL451042.1
381,GRCh38______ARHGEF19-AS1
382,GRCh38______ARHGEF19
383,GRCh38______AL109627.1
384,GRCh38______CPLANE2
385,GRCh38______FBXO42
386,GRCh38______SZRD1
387,GRCh38______SPATA21
388,GRCh38______NECAP2
389,GRCh38______LINC01772
390,GRCh38______AL137802.2
391,GRCh38______AL137802.1
392,GRCh38______LINC01783
393,GRCh38______NBPF1
394,GRCh38______AL137798.1
395,GRCh38______AL137798.2
396,GRCh38______AL021920.1
397,GRCh38______AL021920.3
398,GRCh38______CROCC
399,GRCh38______BX284668.1
400,GRCh38______BX284668.2
401,GRCh38______BX284668.5
402,GRCh38______BX284668.6
403,GRCh38______MFAP2
404,GRCh38______AL049569.2
405,GRCh38______AL049569.1
406,GRCh38______ATP13A2
407,GRCh38______SDHB
408,GRCh38______PADI2
409,GRCh38______LINC02783
410,GRCh38______AL590644.1
411,GRCh38______PADI1
412,GRCh38______PADI3
413,GRCh38______PADI4
414,GRCh38______PADI6
415,GRCh38______RCC2-AS1
416,GRCh38______RCC2
417,GRCh38______ARHGEF10L
418,GRCh38______LINC02810
419,GRCh38______ACTL8
420,GRCh38______AL357509.1
421,GRCh38______LINC01654
422,GRCh38______IGSF21
423,GRCh38______IGSF21-AS1
424,GRCh38______AL591896.1
425,GRCh38______KLHDC7A
426,GRCh38______PAX7
427,GRCh38______TAS1R2
428,GRCh38______ALDH4A1
429,GRCh38______IFFO2
430,GRCh38______AL137127.1
431,GRCh38______UBR4
432,GRCh38______EMC1-AS1
433,GRCh38______EMC1
434,GRCh38______MRTO4
435,GRCh38______AKR7A3
436,GRCh38______AKR7A2
437,GRCh38______SLC66A1
438,GRCh38______CAPZB
439,GRCh38______MICOS10
440,GRCh38______AL031727.2
441,GRCh38______NBL1
442,GRCh38______HTR6
443,GRCh38______TMCO4
444,GRCh38______RNF186
445,GRCh38______AL391883.1
446,GRCh38______OTUD3
447,GRCh38______PLA2G2E
448,GRCh38______PLA2G2A
449,GRCh38______PLA2G5
450,GRCh38______PLA2G2D
451,GRCh38______PLA2G2F
452,GRCh38______Z98257.1
453,GRCh38______PLA2G2C
454,GRCh38______UBXN10-AS1
455,GRCh38______UBXN10
456,GRCh38______LINC01757
457,GRCh38______Z98257.2
458,GRCh38______VWA5B1
459,GRCh38______AL020998.1
460,GRCh38______LINC01141
461,GRCh38______AL139254.1
462,GRCh38______AL139254.2
463,GRCh38______AL139254.3
464,GRCh38______CAMK2N1
465,GRCh38______MUL1
466,GRCh38______FAM43B
467,GRCh38______CDA
468,GRCh38______PINK1
469,GRCh38______PINK1-AS
470,GRCh38______DDOST
471,GRCh38______KIF17
472,GRCh38______SH2D5
473,GRCh38______AL663074.1
474,GRCh38______HP1BP3
475,GRCh38______EIF4G3
476,GRCh38______AL031005.2
477,GRCh38______ECE1
478,GRCh38______AL031005.1
479,GRCh38______AL031728.1
480,GRCh38______AL592309.2
481,GRCh38______NBPF3
482,GRCh38______ALPL
483,GRCh38______LINC02596
484,GRCh38______RAP1GAP
485,GRCh38______USP48
486,GRCh38______LDLRAD2
487,GRCh38______HSPG2
488,GRCh38______CELA3B
489,GRCh38______CELA3A
490,GRCh38______LINC01635
491,GRCh38______LINC00339
492,GRCh38______CDC42
493,GRCh38______CDC42-AS1
494,GRCh38______CDC42-IT1
495,GRCh38______WNT4
496,GRCh38______AL445253.1
497,GRCh38______ZBTB40
498,GRCh38______ZBTB40-IT1
499,GRCh38______EPHA8
500,GRCh38______C1QA
501,GRCh38______C1QC
502,GRCh38______C1QB
503,GRCh38______EPHB2
504,GRCh38______AL512444.1
505,GRCh38______LACTBL1
506,GRCh38______TEX46
507,GRCh38______KDM1A
508,GRCh38______AL031428.1
509,GRCh38______LUZP1
510,GRCh38______HTR1D
511,GRCh38______LINC01355
512,GRCh38______AL109936.6
513,GRCh38______HNRNPR
514,GRCh38______ZNF436
515,GRCh38______ZNF436-AS1
516,GRCh38______AL109936.2
517,GRCh38______TCEA3
518,GRCh38______ASAP3
519,GRCh38______E2F2
520,GRCh38______AL021154.1
521,GRCh38______ID3
522,GRCh38______AL450043.1
523,GRCh38______MDS2
524,GRCh38______RPL11
525,GRCh38______ELOA-AS1
526,GRCh38______ELOA
527,GRCh38______PITHD1
528,GRCh38______LYPLA2
529,GRCh38______GALE
530,GRCh38______HMGCL
531,GRCh38______FUCA1
532,GRCh38______CNR2
533,GRCh38______AL590609.3
534,GRCh38______PNRC2
535,GRCh38______SRSF10
536,GRCh38______AL591178.1
537,GRCh38______MYOM3
538,GRCh38______AL591178.2
539,GRCh38______IL22RA1
540,GRCh38______IFNLR1
541,GRCh38______LINC02800
542,GRCh38______AL138902.1
543,GRCh38______GRHL3
544,GRCh38______STPG1
545,GRCh38______NIPAL3
546,GRCh38______RCAN3AS
547,GRCh38______RCAN3
548,GRCh38______NCMAP-DT
549,GRCh38______NCMAP
550,GRCh38______SRRM1
551,GRCh38______AL445648.1
552,GRCh38______CLIC4
553,GRCh38______RUNX3
554,GRCh38______AL445471.1
555,GRCh38______AL445471.2
556,GRCh38______LINC02793
557,GRCh38______AL050344.1
558,GRCh38______AL031432.1
559,GRCh38______SYF2
560,GRCh38______AL031432.4
561,GRCh38______AL031432.5
562,GRCh38______RSRP1
563,GRCh38______AL031432.3
564,GRCh38______RHD
565,GRCh38______TMEM50A
566,GRCh38______RHCE
567,GRCh38______MACO1
568,GRCh38______LDLRAP1
569,GRCh38______AL606491.1
570,GRCh38______MAN1C1
571,GRCh38______AL031280.1
572,GRCh38______SELENON
573,GRCh38______AL020996.1
574,GRCh38______MTFR1L
575,GRCh38______AL020996.3
576,GRCh38______AUNIP
577,GRCh38______AL033528.2
578,GRCh38______PAQR7
579,GRCh38______STMN1
580,GRCh38______PAFAH2
581,GRCh38______EXTL1
582,GRCh38______SLC30A2
583,GRCh38______AL391650.2
584,GRCh38______TRIM63
585,GRCh38______PDIK1L
586,GRCh38______FAM110D
587,GRCh38______C1orf232
588,GRCh38______AL391650.1
589,GRCh38______ZNF593
590,GRCh38______CNKSR1
591,GRCh38______CATSPER4
592,GRCh38______CEP85
593,GRCh38______SH3BGRL3
594,GRCh38______UBXN11
595,GRCh38______CD52
596,GRCh38______CRYBG2
597,GRCh38______ZNF683
598,GRCh38______LIN28A
599,GRCh38______DHDDS
600,GRCh38______AL513365.2
601,GRCh38______HMGN2
602,GRCh38______RPS6KA1
603,GRCh38______AL512408.1
604,GRCh38______ARID1A
605,GRCh38______PIGV
606,GRCh38______ZDHHC18
607,GRCh38______SFN
608,GRCh38______GPN2
609,GRCh38______AL034380.1
610,GRCh38______GPATCH3
611,GRCh38______NUDC
612,GRCh38______NR0B2
613,GRCh38______KDF1
614,GRCh38______TRNP1
615,GRCh38______TENT5B
616,GRCh38______SLC9A1
617,GRCh38______AL590640.1
618,GRCh38______WDTC1
619,GRCh38______TMEM222
620,GRCh38______SYTL1
621,GRCh38______MAP3K6
622,GRCh38______FCN3
623,GRCh38______CD164L2
624,GRCh38______GPR3
625,GRCh38______WASF2
626,GRCh38______FO393419.2
627,GRCh38______BX293535.1
628,GRCh38______AHDC1
629,GRCh38______FGR
630,GRCh38______LINC02574
631,GRCh38______IFI6
632,GRCh38______AL445490.1
633,GRCh38______AL020997.5
634,GRCh38______FAM76A
635,GRCh38______STX12
636,GRCh38______AL020997.2
637,GRCh38______AL020997.3
638,GRCh38______AL020997.4
639,GRCh38______PPP1R8
640,GRCh38______THEMIS2
641,GRCh38______RPA2
642,GRCh38______SMPDL3B
643,GRCh38______AL512288.1
644,GRCh38______XKR8
645,GRCh38______EYA3
646,GRCh38______PTAFR
647,GRCh38______DNAJC8
648,GRCh38______ATP5IF1
649,GRCh38______AL353622.1
650,GRCh38______AL353622.2
651,GRCh38______SESN2
652,GRCh38______MED18
653,GRCh38______PHACTR4
654,GRCh38______RCC1
655,GRCh38______SNHG3
656,GRCh38______TRNAU1AP
657,GRCh38______SNHG12
658,GRCh38______TAF12
659,GRCh38______RAB42
660,GRCh38______LINC01715
661,GRCh38______AL360012.1
662,GRCh38______GMEB1
663,GRCh38______YTHDF2
664,GRCh38______OPRD1
665,GRCh38______AL009181.1
666,GRCh38______EPB41
667,GRCh38______TMEM200B
668,GRCh38______AL357500.1
669,GRCh38______SRSF4
670,GRCh38______MECR
671,GRCh38______AL590729.1
672,GRCh38______PTPRU
673,GRCh38______LINC01756
674,GRCh38______AC092265.1
675,GRCh38______AL645944.2
676,GRCh38______LINC01648
677,GRCh38______AL137076.1
678,GRCh38______AL161638.2
679,GRCh38______AL161638.1
680,GRCh38______MATN1
681,GRCh38______MATN1-AS1
682,GRCh38______AL137857.1
683,GRCh38______LAPTM5
684,GRCh38______AL137027.1
685,GRCh38______LINC01778
686,GRCh38______AL445235.1
687,GRCh38______SDC3
688,GRCh38______PUM1
689,GRCh38______NKAIN1
690,GRCh38______SNRNP40
691,GRCh38______ZCCHC17
692,GRCh38______AL451070.1
693,GRCh38______FABP3
694,GRCh38______SERINC2
695,GRCh38______LINC01226
696,GRCh38______AC114488.1
697,GRCh38______TINAGL1
698,GRCh38______HCRTR1
699,GRCh38______PEF1
700,GRCh38______AC114488.2
701,GRCh38______AC114488.3
702,GRCh38______COL16A1
703,GRCh38______ADGRB2
704,GRCh38______AL354919.2
705,GRCh38______SPOCD1
706,GRCh38______AL354919.1
707,GRCh38______AL136115.2
708,GRCh38______PTP4A2
709,GRCh38______AL136115.1
710,GRCh38______AL136115.3
711,GRCh38______KHDRBS1
712,GRCh38______AL445248.1
713,GRCh38______TMEM39B
714,GRCh38______KPNA6
715,GRCh38______AL049795.2
716,GRCh38______TXLNA
717,GRCh38______CCDC28B
718,GRCh38______AL049795.1
719,GRCh38______IQCC
720,GRCh38______DCDC2B
721,GRCh38______TMEM234
722,GRCh38______EIF3I
723,GRCh38______FAM167B
724,GRCh38______LCK
725,GRCh38______HDAC1
726,GRCh38______MARCKSL1
727,GRCh38______AL109945.1
728,GRCh38______TSSK3
729,GRCh38______FAM229A
730,GRCh38______BSDC1
731,GRCh38______ZBTB8B
732,GRCh38______ZBTB8A
733,GRCh38______ZBTB8OS
734,GRCh38______RBBP4
735,GRCh38______SYNC
736,GRCh38______AC114489.1
737,GRCh38______KIAA1522
738,GRCh38______YARS
739,GRCh38______S100PBP
740,GRCh38______FNDC5
741,GRCh38______HPCA
742,GRCh38______TMEM54
743,GRCh38______AL031602.2
744,GRCh38______RNF19B
745,GRCh38______AL020995.1
746,GRCh38______AK2
747,GRCh38______AZIN2
748,GRCh38______TRIM62
749,GRCh38______AL662907.3
750,GRCh38______ZNF362
751,GRCh38______AL513327.3
752,GRCh38______A3GALT2
753,GRCh38______AL513327.1
754,GRCh38______PHC2
755,GRCh38______AL513327.2
756,GRCh38______ZSCAN20
757,GRCh38______CSMD2
758,GRCh38______HMGB4
759,GRCh38______CSMD2-AS1
760,GRCh38______C1orf94
761,GRCh38______AC099565.1
762,GRCh38______SMIM12
763,GRCh38______GJB5
764,GRCh38______GJB4
765,GRCh38______AL121988.1
766,GRCh38______GJB3
767,GRCh38______GJA4
768,GRCh38______AL122010.1
769,GRCh38______DLGAP3
770,GRCh38______TMEM35B
771,GRCh38______ZMYM6
772,GRCh38______ZMYM1
773,GRCh38______AL590434.1
774,GRCh38______SFPQ
775,GRCh38______ZMYM4
776,GRCh38______ZMYM4-AS1
777,GRCh38______KIAA0319L
778,GRCh38______NCDN
779,GRCh38______AC004865.2
780,GRCh38______TFAP2E
781,GRCh38______PSMB2
782,GRCh38______C1orf216
783,GRCh38______CLSPN
784,GRCh38______AL354864.1
785,GRCh38______AGO4
786,GRCh38______AGO1
787,GRCh38______AL139286.3
788,GRCh38______AL139286.2
789,GRCh38______AGO3
790,GRCh38______AL138787.2
791,GRCh38______TEKT2
792,GRCh38______ADPRHL2
793,GRCh38______COL8A2
794,GRCh38______TRAPPC3
795,GRCh38______MAP7D1
796,GRCh38______THRAP3
797,GRCh38______SH3D21
798,GRCh38______EVA1B
799,GRCh38______AL591845.1
800,GRCh38______STK40
801,GRCh38______LSM10
802,GRCh38______OSCP1
803,GRCh38______MRPS15
804,GRCh38______CSF3R
805,GRCh38______AL596257.1
806,GRCh38______AC117945.2
807,GRCh38______AC117945.1
808,GRCh38______GRIK3
809,GRCh38______AL031430.1
810,GRCh38______AL353604.1
811,GRCh38______LINC01137
812,GRCh38______ZC3H12A
813,GRCh38______MEAF6
814,GRCh38______SNIP1
815,GRCh38______DNALI1
816,GRCh38______GNL2
817,GRCh38______AL513220.1
818,GRCh38______RSPO1
819,GRCh38______C1orf109
820,GRCh38______CDCA8
821,GRCh38______EPHA10
822,GRCh38______MANEAL
823,GRCh38______AL929472.3
824,GRCh38______YRDC
825,GRCh38______C1orf122
826,GRCh38______MTF1
827,GRCh38______AL929472.2
828,GRCh38______INPP5B
829,GRCh38______SF3A3
830,GRCh38______FHL3
831,GRCh38______UTP11
832,GRCh38______POU3F1
833,GRCh38______MIR3659HG
834,GRCh38______LINC02786
835,GRCh38______AL390839.1
836,GRCh38______AL390839.2
837,GRCh38______LINC01343
838,GRCh38______LINC01685
839,GRCh38______AL354702.2
840,GRCh38______RRAGC
841,GRCh38______AL139260.1
842,GRCh38______MYCBP
843,GRCh38______GJA9
844,GRCh38______RHBDL2
845,GRCh38______AKIRIN1
846,GRCh38______NDUFS5
847,GRCh38______MACF1
848,GRCh38______AL356055.1
849,GRCh38______AL442071.2
850,GRCh38______AL442071.1
851,GRCh38______BMP8A
852,GRCh38______PABPC4
853,GRCh38______PABPC4-AS1
854,GRCh38______HEYL
855,GRCh38______AL035404.2
856,GRCh38______NT5C1A
857,GRCh38______HPCAL4
858,GRCh38______PPIE
859,GRCh38______BMP8B
860,GRCh38______OXCT2
861,GRCh38______BMP8B-AS1
862,GRCh38______AL033527.3
863,GRCh38______AL033527.4
864,GRCh38______LINC02811
865,GRCh38______TRIT1
866,GRCh38______MYCL
867,GRCh38______AL033527.2
868,GRCh38______MFSD2A
869,GRCh38______CAP1
870,GRCh38______PPT1
871,GRCh38______RLF
872,GRCh38______TMCO2
873,GRCh38______AL050341.2
874,GRCh38______ZMPSTE24
875,GRCh38______COL9A2
876,GRCh38______SMAP2
877,GRCh38______AL031985.4
878,GRCh38______ZFP69B
879,GRCh38______AL031985.3
880,GRCh38______ZFP69
881,GRCh38______AL603839.3
882,GRCh38______EXO5
883,GRCh38______AL603839.1
884,GRCh38______AL603839.2
885,GRCh38______ZNF684
886,GRCh38______AL356379.2
887,GRCh38______RIMS3
888,GRCh38______AL031289.2
889,GRCh38______AL031289.1
890,GRCh38______NFYC-AS1
891,GRCh38______NFYC
892,GRCh38______KCNQ4
893,GRCh38______CITED4
894,GRCh38______AC119677.1
895,GRCh38______AL391730.2
896,GRCh38______CTPS1
897,GRCh38______SLFNL1-AS1
898,GRCh38______SLFNL1
899,GRCh38______SCMH1
900,GRCh38______AC093151.8
901,GRCh38______AC093151.3
902,GRCh38______FOXO6
903,GRCh38______AC093151.2
904,GRCh38______EDN2
905,GRCh38______HIVEP3
906,GRCh38______AL445933.2
907,GRCh38______AC119676.1
908,GRCh38______AL158216.1
909,GRCh38______GUCA2B
910,GRCh38______GUCA2A
911,GRCh38______FOXJ3
912,GRCh38______AC096540.1
913,GRCh38______RIMKLA
914,GRCh38______ZMYND12
915,GRCh38______PPCS
916,GRCh38______CCDC30
917,GRCh38______PPIH
918,GRCh38______AC098484.4
919,GRCh38______AC098484.2
920,GRCh38______YBX1
921,GRCh38______CLDN19
922,GRCh38______P3H1
923,GRCh38______C1orf50
924,GRCh38______AC098484.1
925,GRCh38______TMEM269
926,GRCh38______SVBP
927,GRCh38______ERMAP
928,GRCh38______AL512353.1
929,GRCh38______ZNF691
930,GRCh38______SLC2A1
931,GRCh38______SLC2A1-AS1
932,GRCh38______AC099795.1
933,GRCh38______FAM183A
934,GRCh38______EBNA1BP2
935,GRCh38______CFAP57
936,GRCh38______TMEM125
937,GRCh38______C1orf210
938,GRCh38______TIE1
939,GRCh38______MPL
940,GRCh38______AL139289.3
941,GRCh38______AL139289.2
942,GRCh38______CDC20
943,GRCh38______ELOVL1
944,GRCh38______MED8
945,GRCh38______AL139289.1
946,GRCh38______SZT2
947,GRCh38______SZT2-AS1
948,GRCh38______HYI
949,GRCh38______HYI-AS1
950,GRCh38______PTPRF
951,GRCh38______KDM4A
952,GRCh38______KDM4A-AS1
953,GRCh38______ST3GAL3
954,GRCh38______AL451062.1
955,GRCh38______ARTN
956,GRCh38______AL357079.1
957,GRCh38______IPO13
958,GRCh38______AL357079.2
959,GRCh38______DPH2
960,GRCh38______ATP6V0B
961,GRCh38______B4GALT2
