,Gene_MEND52
371,GRCh38__AL021920.1
372,GRCh38__AL021920.3
373,GRCh38__CROCC
374,GRCh38__BX284668.1
375,GRCh38__BX284668.2
376,GRCh38__BX284668.5
377,GRCh38__BX284668.6
378,GRCh38__MFAP2
379,GRCh38__AL049569.1
380,GRCh38__ATP13A2
381,GRCh38__SDHB
382,GRCh38__PADI2
383,GRCh38__AL590644.1
384,GRCh38__AL590644.3
385,GRCh38__PADI1
386,GRCh38__PADI3
387,GRCh38__PADI4
388,GRCh38__PADI6
389,GRCh38__AC004824.1
390,GRCh38__RCC2
391,GRCh38__ARHGEF10L
392,GRCh38__AL136529.1
393,GRCh38__ACTL8
394,GRCh38__AL357509.1
395,GRCh38__LINC01654
396,GRCh38__IGSF21
397,GRCh38__IGSF21-AS1
398,GRCh38__AL591896.1
399,GRCh38__KLHDC7A
400,GRCh38__PAX7
401,GRCh38__TAS1R2
402,GRCh38__AL080251.1
403,GRCh38__ALDH4A1
404,GRCh38__IFFO2
405,GRCh38__UBR4
406,GRCh38__AL035413.1
407,GRCh38__EMC1
408,GRCh38__MRTO4
409,GRCh38__AKR7A3
410,GRCh38__AKR7A2
411,GRCh38__PQLC2
412,GRCh38__CAPZB
413,GRCh38__AL031727.2
414,GRCh38__MINOS1
415,GRCh38__NBL1
416,GRCh38__MINOS1-NBL1
417,GRCh38__HTR6
418,GRCh38__TMCO4
419,GRCh38__RNF186
420,GRCh38__AL391883.1
421,GRCh38__OTUD3
422,GRCh38__PLA2G2E
423,GRCh38__PLA2G2A
424,GRCh38__PLA2G5
425,GRCh38__PLA2G2D
426,GRCh38__PLA2G2F
427,GRCh38__Z98257.1
428,GRCh38__PLA2G2C
429,GRCh38__UBXN10-AS1
430,GRCh38__UBXN10
431,GRCh38__LINC01757
432,GRCh38__Z98257.2
433,GRCh38__VWA5B1
434,GRCh38__AL020998.1
435,GRCh38__LINC01141
436,GRCh38__AL139254.1
437,GRCh38__AL139254.2
438,GRCh38__AL139254.3
439,GRCh38__CAMK2N1
440,GRCh38__MUL1
441,GRCh38__FAM43B
442,GRCh38__CDA
443,GRCh38__PINK1
444,GRCh38__PINK1-AS
445,GRCh38__DDOST
446,GRCh38__KIF17
447,GRCh38__SH2D5
448,GRCh38__AL663074.1
449,GRCh38__HP1BP3
450,GRCh38__EIF4G3
451,GRCh38__ECE1
452,GRCh38__AL031005.1
453,GRCh38__AL031728.1
454,GRCh38__AL592309.2
455,GRCh38__NBPF3
456,GRCh38__ALPL
457,GRCh38__AL359815.1
458,GRCh38__RAP1GAP
459,GRCh38__USP48
460,GRCh38__LDLRAD2
461,GRCh38__HSPG2
462,GRCh38__CELA3B
463,GRCh38__CELA3A
464,GRCh38__LINC01635
465,GRCh38__CDC42
466,GRCh38__AL031281.2
467,GRCh38__WNT4
468,GRCh38__ZBTB40
469,GRCh38__EPHA8
470,GRCh38__C1QA
471,GRCh38__C1QC
472,GRCh38__C1QB
473,GRCh38__EPHB2
474,GRCh38__AL512444.1
475,GRCh38__LACTBL1
476,GRCh38__TEX46
477,GRCh38__KDM1A
478,GRCh38__AL031428.1
479,GRCh38__LUZP1
480,GRCh38__HTR1D
481,GRCh38__LINC01355
482,GRCh38__AL109936.6
483,GRCh38__HNRNPR
484,GRCh38__ZNF436
485,GRCh38__ZNF436-AS1
486,GRCh38__AL109936.2
487,GRCh38__TCEA3
488,GRCh38__ASAP3
489,GRCh38__E2F2
490,GRCh38__AL021154.1
491,GRCh38__ID3
492,GRCh38__MDS2
493,GRCh38__RPL11
494,GRCh38__ELOA
495,GRCh38__ELOA-AS1
496,GRCh38__PITHD1
497,GRCh38__LYPLA2
498,GRCh38__GALE
499,GRCh38__HMGCL
500,GRCh38__FUCA1
501,GRCh38__CNR2
502,GRCh38__AL590609.3
503,GRCh38__PNRC2
504,GRCh38__SRSF10
505,GRCh38__AL591178.1
506,GRCh38__MYOM3
507,GRCh38__AL591178.2
508,GRCh38__IL22RA1
509,GRCh38__IFNLR1
510,GRCh38__AL590683.1
511,GRCh38__AL138902.1
512,GRCh38__GRHL3
513,GRCh38__STPG1
514,GRCh38__NIPAL3
515,GRCh38__RCAN3
516,GRCh38__AL445686.2
517,GRCh38__NCMAP
518,GRCh38__SRRM1
519,GRCh38__AL445648.1
520,GRCh38__CLIC4
521,GRCh38__RUNX3
522,GRCh38__AL445471.1
523,GRCh38__AL445471.2
524,GRCh38__AL050344.1
525,GRCh38__AL031432.1
526,GRCh38__SYF2
527,GRCh38__AL031432.5
528,GRCh38__RSRP1
529,GRCh38__AL031432.3
530,GRCh38__RHD
531,GRCh38__TMEM50A
532,GRCh38__RHCE
533,GRCh38__MACO1
534,GRCh38__LDLRAP1
535,GRCh38__AL606491.1
536,GRCh38__MAN1C1
537,GRCh38__AL031280.1
538,GRCh38__SELENON
539,GRCh38__AL020996.2
540,GRCh38__AL020996.1
541,GRCh38__MTFR1L
542,GRCh38__AL020996.3
543,GRCh38__AUNIP
544,GRCh38__AL033528.2
545,GRCh38__PAQR7
546,GRCh38__STMN1
547,GRCh38__PAFAH2
548,GRCh38__EXTL1
549,GRCh38__SLC30A2
550,GRCh38__TRIM63
551,GRCh38__PDIK1L
552,GRCh38__FAM110D
553,GRCh38__C1orf232
554,GRCh38__AL391650.1
555,GRCh38__ZNF593
556,GRCh38__CNKSR1
557,GRCh38__CATSPER4
558,GRCh38__CEP85
559,GRCh38__SH3BGRL3
560,GRCh38__UBXN11
561,GRCh38__CD52
562,GRCh38__CRYBG2
563,GRCh38__ZNF683
564,GRCh38__LIN28A
565,GRCh38__DHDDS
566,GRCh38__AL513365.2
567,GRCh38__HMGN2
568,GRCh38__RPS6KA1
569,GRCh38__AL512408.1
570,GRCh38__ARID1A
571,GRCh38__PIGV
572,GRCh38__ZDHHC18
573,GRCh38__SFN
574,GRCh38__AL034380.1
575,GRCh38__GPN2
576,GRCh38__GPATCH3
577,GRCh38__NUDC
578,GRCh38__NR0B2
579,GRCh38__KDF1
580,GRCh38__TRNP1
581,GRCh38__TENT5B
582,GRCh38__SLC9A1
583,GRCh38__AL590640.1
584,GRCh38__WDTC1
585,GRCh38__TMEM222
586,GRCh38__SYTL1
587,GRCh38__MAP3K6
588,GRCh38__FCN3
589,GRCh38__CD164L2
590,GRCh38__GPR3
591,GRCh38__WASF2
592,GRCh38__FO393419.2
593,GRCh38__BX293535.1
594,GRCh38__AHDC1
595,GRCh38__FGR
596,GRCh38__LINC02574
597,GRCh38__IFI6
598,GRCh38__AL445490.1
599,GRCh38__FAM76A
600,GRCh38__STX12
601,GRCh38__PPP1R8
602,GRCh38__THEMIS2
603,GRCh38__RPA2
604,GRCh38__SMPDL3B
605,GRCh38__AL512288.1
606,GRCh38__XKR8
607,GRCh38__EYA3
608,GRCh38__PTAFR
609,GRCh38__DNAJC8
610,GRCh38__ATP5IF1
611,GRCh38__AL353622.1
612,GRCh38__AL353622.2
613,GRCh38__SESN2
614,GRCh38__MED18
615,GRCh38__PHACTR4
616,GRCh38__RCC1
617,GRCh38__TRNAU1AP
618,GRCh38__SNHG12
619,GRCh38__TAF12
620,GRCh38__RAB42
621,GRCh38__LINC01715
622,GRCh38__AL360012.1
623,GRCh38__GMEB1
624,GRCh38__YTHDF2
625,GRCh38__OPRD1
626,GRCh38__AL009181.1
627,GRCh38__EPB41
628,GRCh38__TMEM200B
629,GRCh38__AL357500.1
630,GRCh38__SRSF4
631,GRCh38__MECR
632,GRCh38__AL590729.1
633,GRCh38__PTPRU
634,GRCh38__LINC01756
635,GRCh38__AC092265.1
636,GRCh38__AL645944.2
637,GRCh38__LINC01648
638,GRCh38__AL137076.1
639,GRCh38__AL161638.2
640,GRCh38__AL161638.1
641,GRCh38__MATN1
642,GRCh38__MATN1-AS1
643,GRCh38__LAPTM5
644,GRCh38__AL137027.1
645,GRCh38__LINC01778
646,GRCh38__AL445235.1
647,GRCh38__SDC3
648,GRCh38__PUM1
649,GRCh38__NKAIN1
650,GRCh38__SNRNP40
651,GRCh38__ZCCHC17
652,GRCh38__AL451070.1
653,GRCh38__FABP3
654,GRCh38__SERINC2
655,GRCh38__AC114488.1
656,GRCh38__TINAGL1
657,GRCh38__HCRTR1
658,GRCh38__PEF1
659,GRCh38__AC114488.2
660,GRCh38__AC114488.3
661,GRCh38__COL16A1
662,GRCh38__ADGRB2
663,GRCh38__AL354919.2
664,GRCh38__SPOCD1
665,GRCh38__AL354919.1
666,GRCh38__AL136115.2
667,GRCh38__PTP4A2
668,GRCh38__AL136115.1
669,GRCh38__AL136115.3
670,GRCh38__KHDRBS1
671,GRCh38__AL445248.1
672,GRCh38__TMEM39B
673,GRCh38__KPNA6
674,GRCh38__TXLNA
675,GRCh38__CCDC28B
676,GRCh38__AL049795.1
677,GRCh38__IQCC
678,GRCh38__DCDC2B
679,GRCh38__TMEM234
680,GRCh38__EIF3I
681,GRCh38__FAM167B
682,GRCh38__LCK
683,GRCh38__HDAC1
684,GRCh38__MARCKSL1
685,GRCh38__AL109945.1
686,GRCh38__TSSK3
687,GRCh38__FAM229A
688,GRCh38__BSDC1
689,GRCh38__AL033529.1
690,GRCh38__ZBTB8B
691,GRCh38__ZBTB8A
692,GRCh38__ZBTB8OS
693,GRCh38__RBBP4
694,GRCh38__SYNC
695,GRCh38__AC114489.1
696,GRCh38__KIAA1522
697,GRCh38__YARS
698,GRCh38__S100PBP
699,GRCh38__FNDC5
700,GRCh38__HPCA
701,GRCh38__TMEM54
702,GRCh38__RNF19B
703,GRCh38__AL020995.1
704,GRCh38__AK2
705,GRCh38__AZIN2
706,GRCh38__TRIM62
707,GRCh38__AL662907.3
708,GRCh38__ZNF362
709,GRCh38__AL513327.3
710,GRCh38__A3GALT2
711,GRCh38__AL513327.1
712,GRCh38__PHC2
713,GRCh38__AL513327.2
714,GRCh38__ZSCAN20
715,GRCh38__CSMD2
716,GRCh38__HMGB4
717,GRCh38__CSMD2-AS1
718,GRCh38__C1orf94
719,GRCh38__SMIM12
720,GRCh38__GJB5
721,GRCh38__GJB4
722,GRCh38__AL121988.1
723,GRCh38__GJB3
724,GRCh38__GJA4
725,GRCh38__AL122010.1
726,GRCh38__DLGAP3
727,GRCh38__AC114490.3
728,GRCh38__AC114490.2
729,GRCh38__TMEM35B
730,GRCh38__ZMYM6
731,GRCh38__ZMYM1
732,GRCh38__AL590434.1
733,GRCh38__SFPQ
734,GRCh38__ZMYM4
735,GRCh38__ZMYM4-AS1
736,GRCh38__KIAA0319L
737,GRCh38__NCDN
738,GRCh38__AC004865.2
739,GRCh38__TFAP2E
740,GRCh38__PSMB2
741,GRCh38__C1orf216
742,GRCh38__CLSPN
743,GRCh38__AL354864.1
744,GRCh38__AGO4
745,GRCh38__AGO1
746,GRCh38__AL139286.2
747,GRCh38__AGO3
748,GRCh38__AL138787.2
749,GRCh38__TEKT2
750,GRCh38__ADPRHL2
751,GRCh38__COL8A2
752,GRCh38__TRAPPC3
753,GRCh38__MAP7D1
754,GRCh38__THRAP3
755,GRCh38__SH3D21
756,GRCh38__EVA1B
757,GRCh38__AL591845.1
758,GRCh38__STK40
759,GRCh38__LSM10
760,GRCh38__OSCP1
761,GRCh38__MRPS15
762,GRCh38__CSF3R
763,GRCh38__AL596257.1
764,GRCh38__AC117945.2
765,GRCh38__AC117945.1
766,GRCh38__GRIK3
767,GRCh38__AL031430.1
768,GRCh38__AL353604.1
769,GRCh38__LINC01137
770,GRCh38__ZC3H12A
771,GRCh38__MEAF6
772,GRCh38__SNIP1
773,GRCh38__DNALI1
774,GRCh38__GNL2
775,GRCh38__RSPO1
776,GRCh38__C1orf109
777,GRCh38__CDCA8
778,GRCh38__EPHA10
779,GRCh38__MANEAL
780,GRCh38__AL929472.3
781,GRCh38__YRDC
782,GRCh38__C1orf122
783,GRCh38__MTF1
784,GRCh38__AL929472.2
785,GRCh38__INPP5B
786,GRCh38__SF3A3
787,GRCh38__FHL3
788,GRCh38__UTP11
789,GRCh38__POU3F1
790,GRCh38__AL139158.2
791,GRCh38__AL139158.3
792,GRCh38__LINC01343
793,GRCh38__LINC01685
794,GRCh38__AL354702.2
795,GRCh38__RRAGC
796,GRCh38__AL139260.1
797,GRCh38__MYCBP
798,GRCh38__AL139260.3
799,GRCh38__GJA9
800,GRCh38__RHBDL2
801,GRCh38__AKIRIN1
802,GRCh38__NDUFS5
803,GRCh38__MACF1
804,GRCh38__AL442071.1
805,GRCh38__BMP8A
806,GRCh38__PABPC4
807,GRCh38__AL365277.1
808,GRCh38__HEYL
809,GRCh38__AL035404.2
810,GRCh38__NT5C1A
811,GRCh38__HPCAL4
812,GRCh38__PPIE
813,GRCh38__BMP8B
814,GRCh38__OXCT2
815,GRCh38__AL033527.3
816,GRCh38__AL033527.5
817,GRCh38__AL033527.4
818,GRCh38__TRIT1
819,GRCh38__MYCL
820,GRCh38__AL033527.2
821,GRCh38__MFSD2A
822,GRCh38__CAP1
823,GRCh38__PPT1
824,GRCh38__RLF
825,GRCh38__TMCO2
826,GRCh38__AL050341.2
827,GRCh38__ZMPSTE24
828,GRCh38__COL9A2
829,GRCh38__SMAP2
830,GRCh38__AL031985.4
831,GRCh38__ZFP69B
832,GRCh38__ZFP69
833,GRCh38__AL603839.3
834,GRCh38__EXO5
835,GRCh38__AL603839.1
836,GRCh38__AL603839.2
837,GRCh38__ZNF684
838,GRCh38__RIMS3
839,GRCh38__AL031289.1
840,GRCh38__NFYC-AS1
841,GRCh38__NFYC
842,GRCh38__KCNQ4
843,GRCh38__CITED4
844,GRCh38__AC119677.1
845,GRCh38__CTPS1
846,GRCh38__SLFNL1-AS1
847,GRCh38__SLFNL1
848,GRCh38__SCMH1
849,GRCh38__AC093151.3
850,GRCh38__FOXO6
851,GRCh38__AC093151.2
852,GRCh38__EDN2
853,GRCh38__HIVEP3
854,GRCh38__AL445933.2
855,GRCh38__AC119676.1
856,GRCh38__GUCA2B
857,GRCh38__GUCA2A
858,GRCh38__FOXJ3
859,GRCh38__RIMKLA
860,GRCh38__ZMYND12
861,GRCh38__PPCS
862,GRCh38__CCDC30
863,GRCh38__PPIH
864,GRCh38__AC098484.2
865,GRCh38__YBX1
866,GRCh38__CLDN19
867,GRCh38__P3H1
868,GRCh38__C1orf50
869,GRCh38__AC098484.3
870,GRCh38__AC098484.1
871,GRCh38__TMEM269
872,GRCh38__SVBP
873,GRCh38__ERMAP
874,GRCh38__AL512353.1
875,GRCh38__ZNF691
876,GRCh38__SLC2A1
877,GRCh38__SLC2A1-AS1
878,GRCh38__AC099795.1
879,GRCh38__FAM183A
880,GRCh38__EBNA1BP2
881,GRCh38__CFAP57
882,GRCh38__TMEM125
883,GRCh38__C1orf210
884,GRCh38__TIE1
885,GRCh38__MPL
886,GRCh38__AL139289.2
887,GRCh38__CDC20
888,GRCh38__ELOVL1
889,GRCh38__MED8
890,GRCh38__AL139289.1
891,GRCh38__SZT2
892,GRCh38__SZT2-AS1
893,GRCh38__HYI
894,GRCh38__PTPRF
895,GRCh38__AL451062.3
896,GRCh38__KDM4A
897,GRCh38__KDM4A-AS1
898,GRCh38__ST3GAL3
899,GRCh38__AL451062.1
900,GRCh38__ARTN
901,GRCh38__AL357079.1
902,GRCh38__IPO13
903,GRCh38__DPH2
904,GRCh38__ATP6V0B
905,GRCh38__B4GALT2
906,GRCh38__CCDC24
907,GRCh38__SLC6A9
908,GRCh38__AL139220.2
909,GRCh38__KLF17
910,GRCh38__KLF18
911,GRCh38__DMAP1
912,GRCh38__ERI3
913,GRCh38__RNF220
914,GRCh38__TMEM53
915,GRCh38__ARMH1
916,GRCh38__KIF2C
917,GRCh38__AL592166.1
918,GRCh38__RPS8
919,GRCh38__BEST4
920,GRCh38__PLK3
921,GRCh38__TCTEX1D4
922,GRCh38__BTBD19
923,GRCh38__PTCH2
924,GRCh38__EIF2B3
925,GRCh38__HECTD3
926,GRCh38__UROD
927,GRCh38__ZSWIM5
928,GRCh38__LINC01144
929,GRCh38__HPDL
930,GRCh38__MUTYH
931,GRCh38__TOE1
932,GRCh38__TESK2
933,GRCh38__CCDC163
934,GRCh38__MMACHC
935,GRCh38__PRDX1
936,GRCh38__AKR1A1
937,GRCh38__NASP
938,GRCh38__CCDC17
939,GRCh38__GPBP1L1
940,GRCh38__TMEM69
941,GRCh38__IPP
942,GRCh38__MAST2
943,GRCh38__PIK3R3
944,GRCh38__AL358075.4
945,GRCh38__AL358075.1
946,GRCh38__AL358075.2
947,GRCh38__TSPAN1
948,GRCh38__AL672043.1
949,GRCh38__POMGNT1
950,GRCh38__LURAP1
951,GRCh38__RAD54L
952,GRCh38__LRRC41
953,GRCh38__UQCRH
954,GRCh38__NSUN4
955,GRCh38__FAAH
956,GRCh38__DMBX1
957,GRCh38__AL136373.1
958,GRCh38__MKNK1-AS1
959,GRCh38__KNCN
960,GRCh38__MKNK1
961,GRCh38__MOB3C
962,GRCh38__ATPAF1
963,GRCh38__TEX38
964,GRCh38__EFCAB14-AS1
965,GRCh38__EFCAB14
